sfid,meid,line_start,col_start,line_end,col_end
1009266,27629967,8,0,8,6
10095118,354674513,11,12,11,18
10095267,354666449,27,12,27,16
10095426,357065377,78,22,78,24
10095973,354699298,15,1,15,1
10096009,365800581,33,4,33,10
10096712,354780182,37,1,37,1
10097035,354802325,237,18,237,19
10099250,354863932,26,4,26,5
1009941,27333827,7,23,7,24
10100456,354918913,15,4,15,5
10101316,356689991,38,4,38,5
10101316,356808603,54,3,54,4
10101440,354976614,14,28,14,29
10101698,354976515,16,0,16,1
10102879,355014522,32,0,32,1
10103339,355063926,19,1,19,1
10104180,363647673,80,8,80,11
101044,2302218,92,4,92,5
10105162,355114203,43,31,43,32
10108309,366942967,15,33,15,36
10110251,355314445,18,46,18,49
10111979,355559798,23,44,23,45
10112437,357853610,113,0,113,1
10112600,355382643,13,17,13,19
10112804,357574702,99,51,99,55
10113606,355468269,117,19,117,27
10115330,355502414,17,4,17,10
10115525,356262501,171,12,171,13
10118262,355625095,197,32,197,48
10118521,359796680,17,4,17,5
10119900,355888825,220,71,220,82
10120046,357148036,118,4,118,5
10121056,357448205,23,39,23,40
10122166,355868707,16,16,16,24
10122426,355902533,10,25,10,26
10122428,355827043,6,1,6,1
101226,2165571,82,9,82,15
10122776,355887684,19,1,19,1
10123109,360058805,57,0,57,1
10123170,355862064,5,4,5,5
1012425,27402810,5,0,5,1
10125315,356011259,25,1,25,1
10125474,356044462,16,12,16,18
10126331,425383114,46,27,46,28
10126521,356075143,49,4,49,5
10127298,356046700,22,4,22,5
10127772,358199419,7,12,7,14
10128710,356992551,115,28,115,34
10129186,358290076,45,8,45,13
10129194,356180623,45,4,45,5
10130402,356164743,5,4,5,5
10132265,356352364,24,27,24,28
10134234,356351230,9,0,9,6
10135116,356404403,23,1,23,1
10135147,356393679,19,35,19,37
10135406,356400779,28,8,28,13
10135406,356410177,32,8,32,11
10136338,356463747,7,8,7,9
10136398,356528531,29,39,29,40
10136616,389160710,58,8,58,12
10137961,356597795,78,8,78,12
10138399,356619408,64,22,64,23
10138913,356725302,28,142,28,143
10139265,356557992,11,4,11,5
10140310,358880833,8,0,8,6
10140986,356634168,29,8,29,14
10141182,362622022,68,9,68,9
10141455,356647871,23,1,23,1
10141497,356644225,7,78,7,79
10142921,356700024,18,41,18,42
10143142,356705420,30,47,30,48
1014324,27477024,30,0,30,1
10143597,356749805,58,18,58,24
10143736,362724482,39,0,39,1
10143859,381567912,12,40,12,41
10144169,356780730,41,4,41,5
10144707,356778885,53,33,53,34
10146278,356891438,21,4,21,5
10146574,356842251,14,23,14,26
10148068,356951848,23,8,23,12
10148170,356908317,50,20,50,20
10148264,356915492,9,7,9,13
10148278,356919533,36,8,36,19
10149582,359082180,55,7,55,9
1014994,27507681,22,8,22,8
10150070,360623626,49,32,49,33
10150316,356998466,16,11,16,12
10150505,357070668,15,1,15,1
1015071,29115976,53,53,53,54
10152849,375617531,203,16,203,18
10153057,363082994,77,0,77,1
10153592,357188608,22,20,22,23
10155269,357231480,131,16,131,20
1015690,27543301,31,17,31,18
1015850,41581300,84,60,84,67
1015901,28519836,31,60,31,61
10161435,357480617,28,3,28,3
10161718,357472510,19,1,19,1
10162610,357500920,5,3,5,3
10163620,357552012,15,52,15,53
10163760,365162163,18,12,18,14
10163925,357575756,25,107,25,108
10164416,357563481,3,0,3,6
10165465,357629308,41,8,41,14
10165847,357620165,18,4,18,5
10166109,357662901,10,3,10,21
10166272,357740703,44,4,44,5
10166841,359696914,11,8,11,10
10166895,357707299,56,4,56,5
10167149,374064448,126,8,126,9
10167279,357790122,118,38,118,39
10167827,363363721,38,0,38,1
10169121,358023928,52,2,52,3
10172960,357996953,48,0,48,1
10173803,357958510,14,62,14,63
10174575,358015987,14,7,14,13
10174582,358034743,13,6,13,7
10174892,357980378,16,8,16,10
10174911,358008575,8,0,8,3
10175598,358022234,30,53,30,57
1017579,28923294,92,4,92,5
10176010,362186140,28,4,28,5
10176166,358840527,39,1,39,1
10176166,358881133,58,0,58,1
10177912,361234322,35,16,35,22
1017822,27644547,9,25,9,26
10178703,358201694,41,0,41,6
10179503,358203289,16,4,16,5
10179503,358214189,11,8,11,15
10179690,358181076,32,4,32,11
1018112,27617462,36,0,36,1
10181755,358287271,44,4,44,5
10181862,365974329,20,7,20,14
10182606,358404647,72,4,72,5
10182606,358430664,73,43,73,44
10182852,362328634,41,3,41,3
10183337,358355975,9,4,9,10
10184225,372792730,45,8,45,14
10185152,358426056,8,12,8,15
10185450,362274713,23,7,23,13
10186279,358550284,33,3,33,3
10186400,358537796,113,13,113,15
10188279,358571391,3,39,3,40
10188349,358584751,30,4,30,5
10188935,423655788,48,39,48,42
10189048,358649540,21,0,21,1
10192228,361130503,25,91,25,92
10192313,358737739,8,13,8,18
10193677,360698331,21,8,21,9
10196970,358928856,19,8,19,16
10197740,358950093,6,67,6,68
10198283,359026313,31,8,31,9
10198412,358973212,5,4,5,10
10200288,359082432,34,8,34,15
10200472,359295201,78,6,78,7
10200545,359183720,10,37,10,38
10200826,359193743,11,60,11,61
10201673,359144408,41,8,41,10
1020368,28745986,20,8,20,9
10204039,359244707,36,70,36,71
10204063,359287979,21,13,21,19
10205924,359306023,30,15,30,16
10207123,359369054,119,4,119,5
10207848,408406378,38,4,38,5
10209205,361811004,9,77,9,78
10212758,359531754,19,4,19,9
10212768,361553797,142,44,142,49
10213517,359586914,2,0,2,6
10214022,359605634,417,9,417,11
10216776,359787477,23,0,23,1
1021700,27888010,133,7,133,10
10218184,362084494,33,1,33,1
10218401,361773755,43,5,43,5
10219209,359817521,35,2,35,6
10220379,359896326,65,4,65,10
10221009,366128952,8,0,8,6
10221009,366358812,124,0,124,6
1022124,27894987,23,32,23,33
10221318,359871369,55,22,55,31
10221522,361127257,22,4,22,5
10222002,359925806,12,7,12,20
10222002,359966601,17,4,17,11
10222056,361917341,23,8,23,9
10222119,360065146,33,60,33,61
10222379,359924710,10,4,10,5
10222639,359911902,20,5,20,5
1022318,27808288,3,0,3,6
10223460,359981711,13,59,13,66
10223931,360010917,52,4,52,5
10224152,376368964,84,17,84,18
10225084,360056982,16,7,16,10
10226389,360065007,14,4,14,5
10227514,360116158,42,4,42,5
10228121,360212834,51,5,51,6
10228452,365655385,4,29,4,30
10231575,360429116,37,8,37,10
10231747,360289223,12,7,12,8
1023213,27867507,47,5,47,6
10232234,362311348,46,8,46,9
10232787,368100490,31,9,31,12
10232910,360360120,19,4,19,5
10232933,360353629,9,29,9,30
1023380,27954211,60,21,60,22
10233985,360534368,6,47,6,48
10234331,366116152,25,4,25,5
10234478,360541781,40,17,40,18
10235144,360432179,13,1,13,1
1023515,27864410,39,12,39,18
10235263,360470888,176,0,176,0
10235491,385856619,217,21,217,22
10235679,360518644,18,23,18,24
10236017,362486716,26,61,26,93
10236115,360507441,14,102,14,103
10236272,362426692,14,58,14,59
10236559,360581529,18,4,18,5
10238346,360893230,191,12,191,13
10238627,360632654,17,8,17,14
10238776,360743748,31,18,31,19
10239029,421388925,125,9,125,10
10239041,366410099,258,4,258,10
10239375,360682211,12,7,12,20
10239808,360674887,17,8,17,9
10239845,360815452,38,17,38,18
10241786,360804876,14,8,14,9
10242214,360911753,44,46,44,47
10242584,360796556,2,0,2,6
10244321,366603701,24,21,24,22
10245363,360920240,10,0,10,6
10246579,360984309,18,12,18,13
10246711,361015090,39,13,39,14
10247360,361899028,66,2,66,4
1024834,27913389,11,41,11,42
10248853,367847477,98,0,98,1
10249759,362103949,32,6,32,10
10250910,361163098,14,12,14,15
10251121,361165130,26,8,26,9
10252979,361242898,12,4,12,10
1025542,27949101,25,8,25,14
10255770,361366357,21,4,21,5
10256155,417741791,35,4,35,5
102590,2193001,14,8,14,14
10260480,363155010,168,98,168,99
10262829,361617436,41,0,41,0
10266604,361711647,24,8,24,11
10266689,361806274,19,8,19,11
10267528,361794548,43,0,43,1
10267556,361807991,8,64,8,65
10267823,365296591,25,89,25,95
10267967,361780127,9,45,9,46
10269793,361900888,32,41,32,42
10270002,361929903,43,20,43,21
10270900,361900670,10,4,10,10
10271887,361932468,5,67,5,68
10271959,361960548,18,8,18,10
10273625,390950730,74,20,74,21
10274608,362086132,53,0,53,1
10274812,371349569,17,49,17,51
10275704,362103650,7,4,7,7
10275849,362145702,19,8,19,9
10275864,362132628,49,46,49,47
10275882,362122991,138,0,138,1
10276978,362164692,10,29,10,30
10277421,362213401,19,1,19,1
10277804,362211321,33,5,33,5
10278838,370813338,13,4,13,10
10280367,362353289,18,1,18,1
10282977,362618528,74,4,74,5
1028358,28129701,58,8,58,9
10283819,366037801,47,59,47,60
10285027,362501520,8,0,8,6
1028538,28088655,25,16,25,17
10286136,362632355,38,0,38,1
10286304,368125239,81,0,81,1
10286894,362595583,15,45,15,46
10286986,362614147,28,12,28,13
10287558,362649852,31,21,31,22
10287594,362652444,25,30,25,31
10287868,396294887,131,12,131,15
1029006,28089292,5,8,5,9
10290684,362793572,17,49,17,50
10291305,362947710,27,48,27,52
10292547,362981226,32,0,32,1
10292671,362944457,30,4,30,5
10295229,363009269,14,5,14,11
10295618,364190868,10,49,10,50
10295978,365093916,35,4,35,5
10296978,363096792,16,5,16,11
10300768,363299243,80,50,80,51
1030215,28162700,55,73,55,85
10302812,363299467,24,11,24,14
10303380,363354797,17,8,17,12
10303540,363323541,12,4,12,5
10304692,363372962,17,12,17,13
10304980,363475206,55,8,55,11
10305391,363405776,9,40,9,42
10305695,363415287,23,24,23,25
10307019,363486805,11,8,11,14
10308136,363637498,47,52,47,62
1030831,28197142,15,8,15,9
10308920,363606243,27,8,27,14
10309336,364069542,102,12,102,13
10309436,364552170,34,111,34,114
10310173,363989230,14,31,14,32
10310284,363712260,5,38,5,41
10310431,363772585,11,48,11,53
10319695,364007763,9,14,9,15
10323498,364168293,12,80,12,84
10324330,364390812,7,8,7,14
10325676,364237972,25,4,25,4
1032722,28268385,70,1,70,1
10327234,364310526,9,0,9,6
10327980,364333375,10,11,10,16
10328622,364500337,44,21,44,22
1032894,28238011,13,14,13,15
1033173,28458899,11,56,11,57
10331991,364556366,8,24,8,25
10332796,364640462,16,8,16,14
10333093,381638205,41,0,41,1
10333392,364628426,18,8,18,9
10333414,364661846,17,51,17,57
10333550,371123241,35,1158,35,1170
10333793,364683669,17,109,17,110
10336355,364773485,17,1,17,1
10336996,364850330,306,44,306,45
10342117,365040014,68,4,68,5
10342447,365012121,19,4,19,5
10343695,365116705,63,0,63,0
10344191,365106585,8,47,8,48
10344221,365090830,24,1,24,1
10344660,367483500,9,0,9,1
1034595,28372192,18,28,18,29
1034909,28317259,37,8,37,11
10349121,365237521,11,32,11,33
1034938,28351218,38,8,38,9
10349668,365266731,19,12,19,17
10351733,365336515,9,31,9,32
10352298,369912897,62,45,62,46
10352603,365470302,64,80,64,81
10352639,369920602,43,1,43,1
10353710,380162188,54,4,54,5
10353931,365460208,16,38,16,39
10354220,366948874,10,37,10,38
10355293,365489326,12,12,12,13
10357060,365820624,31,61,31,62
10358027,365628531,20,8,20,14
10359391,392147665,97,38,97,39
10360338,370140366,54,8,54,14
10361057,385421924,84,12,84,16
10362576,454737813,167,5,167,5
10363308,365837553,25,4,25,5
10363742,367832549,59,1,59,1
10363765,374889162,54,53,54,58
10364006,368241142,43,21,43,22
10364392,366802296,40,1,40,1
10366386,373214697,60,4,60,10
10366472,365957328,19,21,19,22
10366514,365915964,7,4,7,11
10366592,365949554,40,64,40,65
10367139,368117747,49,8,49,14
10367328,366069408,11,52,11,53
10368475,366053028,47,8,47,8
1036885,28402124,158,1,158,1
10369954,366061990,1,0,1,5
1037257,28399591,13,71,13,72
10373890,373008935,52,39,52,40
10373909,366228168,12,18,12,25
10374351,366257587,18,37,18,38
10374560,366268399,14,4,14,5
10375520,388862314,88,7,88,22
10376517,366370093,141,5,141,11
10376866,368594348,105,4,105,10
10377219,366378873,15,1,15,1
10378733,366442561,38,62,38,63
10379201,366454812,4,27,4,28
10380027,366590768,49,0,49,0
10381362,366560175,25,18,25,19
10381862,371252184,99,4,99,5
10382006,367898795,66,1,66,1
10382174,366594320,6,5,6,8
10382755,366987988,44,12,44,18
10382830,371121486,37,12,37,22
10383056,366653630,13,2,13,3
10385320,371300567,278,4,278,10
10385770,366765056,31,4,31,5
10385982,366898421,18,16,18,17
10387028,366872820,25,0,25,0
10387117,366827731,31,6,31,6
10387347,366836799,74,4,74,5
10388193,366902986,7,4,7,5
1039095,28495442,30,69,30,70
10392835,375128596,24,0,24,1
10395635,367152030,15,4,15,5
10399465,367428768,17,29,17,30
10400985,390394168,30,38,30,39
10401106,367358064,12,7,12,20
10402309,369765853,82,0,82,1
10402311,369760951,24,0,24,0
10402939,372094640,49,4,49,5
10403705,367477624,19,32,19,33
10403831,367461825,29,8,29,9
10403981,367475217,2,0,2,1
10404729,368960035,109,4,109,5
1040571,29790663,54,89,54,110
10406257,378828865,112,84,112,85
10407682,367939172,100,12,100,13
1040791,28553172,27,4,27,5
1040791,28566905,70,99,70,102
10408426,367642570,8,62,8,94
10409941,367727787,59,4,59,5
10411327,411992443,6,8,6,11
10412596,367834354,15,7,15,13
1041363,28562755,21,0,21,1
10414842,367990321,53,6,53,12
10416050,368258819,81,16,81,22
10416179,368062604,29,30,29,40
10416243,367985654,13,8,13,11
10416243,368010297,41,35,41,35
10417536,368119300,90,19,90,20
10417878,368055439,37,24,37,30
10418401,434573036,9,38,9,39
10419098,368113945,17,4,17,5
10420028,381627391,99,12,99,13
10420036,370402963,30,0,30,1
10420050,368126561,9,16,9,17
10420615,368461679,24,6,24,6
10420865,393708853,20,4,20,5
10420898,368202208,18,40,18,43
10421666,385420055,141,20,141,21
10422230,368218188,10,4,10,10
10422616,370221397,28,5,28,5
10422702,368248877,37,1,37,1
10422855,368334180,58,53,58,58
10423515,368305691,33,11,33,15
10423599,373231104,37,8,37,12
10423643,368280497,29,52,29,62
10426209,368377560,72,5,72,5
10427065,368512582,85,29,85,30
10427524,381019928,11,4,11,5
10428065,368456963,8,0,8,4
10428144,368500575,16,4,16,5
10428205,369008468,45,4,45,5
10429009,384172498,112,12,112,14
10429681,407508849,1,0,1,2
10430025,368586274,31,1,31,1
10430521,368793191,27,8,27,9
10431019,368721886,12,0,12,1
10431196,370859839,10,15,10,16
10431255,368738654,132,3,132,4
10432230,383728265,110,5,110,5
10432733,373072470,14,68,14,69
10432944,368688446,20,1,20,1
10434847,379040926,125,0,125,1
10435201,368789032,29,6,29,6
10435891,368926001,85,21,85,26
10436115,368884841,33,8,33,14
10436261,368838639,21,4,21,5
10436287,369143742,11,4,11,5
10437629,381162252,16,43,16,44
10438171,368929858,9,0,9,6
10438273,368935472,30,0,30,1
10438624,368967419,49,7,49,13
10438631,369028238,31,91,31,92
10438992,435607769,3,0,3,6
10439212,371361677,28,9,28,10
10439547,369015278,78,4,78,5
1044000,29999343,103,1,103,1
10440832,369160548,24,3,24,4
10442124,369283067,221,0,221,1
10443191,373750686,20,0,20,1
10443907,369192198,20,47,20,48
10444956,369253041,12,32,12,35
1044512,28697673,17,0,17,1
10445992,369318264,92,8,92,9
10448633,386485292,396,16,396,17
10448675,382064045,84,98,84,99
10449990,371772849,13,0,13,1
10450155,371788506,22,1,22,1
10450848,370953332,22,1,22,1
10451025,369564387,14,1,14,1
10452607,370518686,65,1,65,2
1045313,28768125,45,4,45,5
10453419,369571275,43,59,43,60
10455201,379996179,23,12,23,14
10455922,369606438,15,20,15,22
10456667,369676030,66,8,66,9
10457220,369690498,57,8,57,14
10459080,369748564,6,27,6,28
10459726,372096655,49,4,49,5
10459827,369809947,18,59,18,60
10459891,377727120,42,71,42,74
10459923,369856393,12,3,12,9
10461389,369876740,20,41,20,52
10463153,370070240,40,0,40,0
10463203,409280478,27,4,27,5
10463203,420248993,27,5,27,11
10463427,369953406,42,38,42,39
10463870,369992557,37,4,37,5
10464243,369993057,11,29,11,30
10465159,370132001,56,4,56,5
10467252,372443135,48,8,48,14
10467388,370155386,24,11,24,17
10467429,370197496,14,53,14,54
10467859,372380129,41,1,41,1
10468063,370245327,13,0,13,3
10469194,380646333,21,4,21,10
10470172,370278623,2,0,2,6
10471185,370352892,18,66,18,67
10471251,370379476,59,2,59,2
10473089,442132402,27,0,27,1
10474263,370446480,16,1,16,1
10474516,370663860,104,8,104,9
10476010,370634881,98,21,98,22
10476739,370580729,43,44,43,51
1047796,33946062,71,61,71,62
10478974,374823887,56,24,56,25
10481073,370769342,8,8,8,14
10481203,370775046,143,12,143,21
10481302,370802692,9,8,9,9
10481480,372783776,10,37,10,38
10483149,370867875,33,4,33,5
10483748,370915565,22,8,22,12
10485157,370972727,3,0,3,6
10485769,384202589,26,16,26,17
10486261,374904660,36,7,36,7
10487161,371224027,155,12,155,18
10487943,371139542,14,18,14,19
10488737,373856152,7,31,7,32
10488737,374390680,6,17,6,19
10489352,371326995,6,12,6,17
1049099,30893722,22,38,22,39
10492413,373612074,269,54,269,55
10493873,371486068,56,14,56,14
10494045,371473677,28,8,28,9
10494393,371496421,14,36,14,37
10495930,371555841,25,18,25,19
10499842,371715757,8,25,8,26
10501640,372975070,95,47,95,48
10502330,371796121,59,15,59,16
10502917,371873526,27,38,27,39
10503158,371802296,12,4,12,8
1050585,35279959,114,52,114,55
10506153,373788864,20,40,20,41
10506681,371944140,18,30,18,31
10507015,371959608,50,56,50,57
10507818,384860205,91,8,91,21
10509058,372333601,9,17,9,18
1050935,29066462,37,27,37,27
10512143,372220473,113,9,113,13
1051282,28927849,71,8,71,14
10512917,372184878,25,0,25,1
10513365,372207068,16,5,16,11
10513408,372249075,57,0,57,1
10514721,372278532,31,8,31,11
10514947,373187742,142,8,142,11
10515582,372334620,12,12,12,19
10516458,374637025,62,0,62,1
10516809,372424825,56,3,56,3
10518480,372423077,15,1,15,1
10519450,372560540,26,1,26,1
10520527,372525117,24,38,24,39
10520905,372588063,88,50,88,51
10521188,372573096,38,15,38,16
10521320,372773795,15,17,15,18
10522065,372599367,20,4,20,5
10523325,372743132,65,4,65,10
10525011,372832563,40,8,40,14
10525485,372728272,5,15,5,18
10526412,414507184,14,4,14,5
10526425,372795158,7,37,7,38
10527019,372820631,69,4,69,5
10527193,372879084,54,0,54,1
10527432,372818172,13,8,13,13
10527872,372899964,18,45,18,46
10529736,378043316,19,44,19,45
10529921,373136322,39,12,39,13
10530241,372912844,41,4,41,5
10530611,372976125,15,7,15,13
10530734,373005350,26,16,26,22
10531755,374979272,37,52,37,58
10532208,375024058,78,0,78,1
10532826,404866599,6,23,6,24
10532859,378643735,20,1,20,1
10533546,373091320,19,1,19,1
10533559,373081260,6,0,6,6
10534903,373173206,13,6,13,12
10535042,373180993,27,29,27,32
10536996,373317421,69,37,69,48
10537249,373289495,17,64,17,65
10537919,373357648,20,8,20,9
10539127,374599447,50,0,50,1
10539329,373766587,72,7,72,13
10540276,373430661,18,4,18,5
10541316,373560720,6,93,6,97
10541344,373591488,20,1,20,7
10541822,373497656,90,6,90,8
10544282,373787985,58,54,58,55
10544627,373745111,79,15,79,16
1054506,35687130,49,79,49,80
10545101,373639044,34,8,34,9
10548354,373762660,58,5,58,5
1054941,30396665,10,21,10,22
10549800,373810301,16,8,16,11
10550236,373826477,16,4,16,5
10550331,375819253,95,7,95,14
10550727,373845892,9,8,9,11
10553732,373952864,25,8,25,12
10554617,411929486,69,15,69,18
10554766,374014916,13,8,13,11
10555045,373986632,16,1,16,1
1055517,29104143,9,11,9,12
10556017,383641456,60,4,60,5
10556314,374054115,21,4,21,5
10556422,381128980,123,4,123,5
10558006,374761122,22,0,22,1
10558459,374121590,50,1,50,1
1055923,29131359,138,38,138,39
10559610,377653603,37,136,37,146
10560511,374242623,18,8,18,11
10560641,374337029,22,49,22,56
10560815,374422773,58,47,58,48
10560870,380115090,16,8,16,11
1056254,29153246,20,8,20,12
10565034,374478423,47,2,47,3
105663,2267997,60,1,60,1
10566498,374520380,56,39,56,40
10567419,374553706,102,0,102,0
10568217,374602085,28,0,28,1
10569230,374662391,13,4,13,11
10569299,374694838,86,4,86,10
10569732,386427427,5,0,5,1
10571289,374744108,20,3,20,4
1057151,57891328,8,4,8,5
10571887,383968073,34,0,34,1
10572064,374856180,20,1,20,2
10573833,378429754,15,0,15,1
10576776,376419362,71,4,71,5
10577111,376474930,87,8,87,18
10577146,381149998,61,12,61,18
10581275,375237464,23,1,23,1
10582304,375777754,18,12,18,18
10583214,375369311,108,11,108,15
10583496,375391740,4,44,4,45
10585209,375481842,37,10,37,20
10587914,375552270,1,0,1,7
10587946,378447650,115,88,115,89
10588699,376463306,104,1,104,1
10593423,375783857,7,3,7,3
10593514,375835303,26,11,26,13
10593819,375864124,21,45,21,55
10593823,376596970,45,16,45,17
10594037,432058443,21,7,21,9
10594146,375830083,20,53,20,62
10594187,375840881,26,18,26,19
10594453,375884637,39,27,39,28
10594666,433156976,21,0,21,0
10596726,376106032,80,8,80,13
10597110,376006340,16,18,16,19
10598730,381880660,19,39,19,48
10598816,376154032,90,8,90,9
10599257,376123817,25,12,25,20
10599933,376179765,17,4,17,11
10600190,376797190,45,16,45,17
10600721,378227483,17,8,17,14
10600851,378605567,516,19,516,22
10602450,376267470,1,0,1,5
10602980,377365040,61,38,61,39
10603573,376314178,46,4,46,5
10604207,377070627,49,4,49,5
10604449,415237799,14,0,14,6
10606102,376418704,19,1,19,1
10606372,376437663,30,0,30,0
10606670,376489155,33,16,33,21
10607988,376613237,22,4,22,5
10608411,376866928,77,12,77,17
10608675,380865865,25,4,25,10
106093,2291365,50,41,50,43
10609470,376564896,22,8,22,13
10609742,376716651,94,7,94,8
10611010,376633332,40,5,40,10
10612172,376747165,16,8,16,11
10614058,376945666,27,13,27,20
106143,2303699,36,8,36,14
10614441,377153074,13,4,13,11
1061496,29350753,4,17,4,22
10615118,376960013,15,60,15,61
10617442,386435966,18,12,18,18
10618061,377014653,35,12,35,13
10621449,384415068,172,12,172,13
10623061,377273343,28,16,28,17
10623385,377278324,31,4,31,5
10623673,377290492,2,15,2,16
10625008,377372044,40,8,40,14
10625126,377358315,13,0,13,1
1062521,29390889,66,43,66,48
10625247,377400465,59,25,59,29
10625791,380136125,141,53,141,54
10631668,377636197,84,1,84,1
10632004,377654743,12,2,12,3
1063305,29409292,10,38,10,40
10633238,382935281,41,0,41,1
10633278,390916103,29,1,29,1
10633293,378068396,28,75,28,76
10633806,380055320,110,12,110,13
10634442,377757885,10,21,10,22
10634757,377779571,23,36,23,37
10636374,380166425,21,5,21,5
10638202,377889517,28,4,28,5
106395,2392237,40,8,40,22
10639752,377938365,7,4,7,12
10639974,377993622,61,0,61,1
1064006,29439970,13,20,13,21
10640375,377979762,18,40,18,41
10640378,378058191,42,20,42,21
10640399,377995279,6,53,6,54
10641177,380321759,18,53,18,54
10642497,378123042,25,73,25,79
10642530,382573339,50,4,50,5
10642707,378118703,72,87,72,88
10644500,378120685,13,12,13,17
10647780,382797898,8,9,8,10
10648985,378324603,15,4,15,5
10649470,378304986,34,1,34,1
10649571,378340777,34,5,34,5
10649576,380882916,55,2,55,5
10650942,378347970,40,1,40,1
1065118,63679527,22,22,22,23
10651680,378472037,87,8,87,11
10653461,378459687,8,4,8,10
10653673,378529701,40,0,40,1
10653681,380828216,14,64,14,69
10654192,378501134,24,78,24,99
10654891,378552241,38,82,38,90
10655640,378599467,26,56,26,57
10657545,378633020,26,35,26,36
1065825,29717228,119,23,119,24
10658413,381456505,78,43,78,44
10659253,378702696,97,1,97,1
1066016,33334874,66,56,66,57
10660334,378715476,2,0,2,6
10661282,381323264,29,21,29,22
10661902,381221526,27,25,27,26
1066221,29540536,76,4,76,10
10662669,378857731,10,10,10,16
10663296,378901083,37,1,37,1
10664340,385023070,87,79,87,80
10664470,385953031,83,24,83,25
10665067,378922498,14,1,14,1
10666616,378972840,1,0,1,5
10666931,379015103,24,8,24,16
10667005,379346437,16,44,16,45
10669174,379374620,247,88,247,89
106701,2290578,25,1,25,1
10673100,379289270,47,8,47,9
